ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,mid,bid_size,ask_size,last_price,last_size,volume,open,high,low,close,vwap,break_even,underlying_price
O:AAPL251114C00135000,AAPL,2025-11-14,9,135.0,C,,,,,,0,131.55,134.95,133.25,101,100,,,,,,,,,268.25,268.69
O:AAPL251114C00140000,AAPL,2025-11-14,9,140.0,C,,,,,,1,127.05,130.1,128.575,101,102,130.5,1,1,130.5,130.5,130.5,130.5,130.5,268.575,268.69
O:AAPL251114C00145000,AAPL,2025-11-14,9,145.0,C,,,,,,3,121.85,124.8,123.32499999999999,100,100,125.5,1,2,125.5,125.5,125.5,125.5,125.5,268.325,268.69
O:AAPL251114C00150000,AAPL,2025-11-14,9,150.0,C,,,,,,1,116.95,119.95,118.45,100,100,119.41,1,2,119.52,119.52,119.41,119.41,119.465,268.45,268.69
O:AAPL251114C00155000,AAPL,2025-11-14,9,155.0,C,,,,,,1,111.85,115,113.425,106,108,116.77,1,1,116.77,116.77,116.77,116.77,116.77,268.425,268.69
O:AAPL251114C00160000,AAPL,2025-11-14,9,160.0,C,,,,,,1,106.85,110.1,108.475,17,103,115.65,1,1,115.65,115.65,115.65,115.65,115.65,268.475,268.69
O:AAPL251114C00165000,AAPL,2025-11-14,9,165.0,C,,,,,,4,101.85,104.95,103.4,100,102,105.25,4,4,105.25,105.25,105.25,105.25,105.25,268.4,268.69
O:AAPL251114C00170000,AAPL,2025-11-14,9,170.0,C,,,,,,6,96.85,99.85,98.35,101,101,98.91,6,6,98.91,98.91,98.91,98.91,98.91,268.35,268.69
O:AAPL251114C00175000,AAPL,2025-11-14,9,175.0,C,,,,,,5,91.55,94.95,93.25,105,101,96.3,1,1,96.3,96.3,96.3,96.3,96.3,268.25,268.69
O:AAPL251114C00180000,AAPL,2025-11-14,9,180.0,C,,,,,,1,87.05,90,88.525,105,108,87.73,20,22,89.45,89.45,87.73,87.73,87.8864,268.525,268.69
O:AAPL251114C00185000,AAPL,2025-11-14,9,185.0,C,,,,,,1,81.95,84.5,83.225,105,112,79.25,1,4,78.97,79.25,78.97,79.25,79.11,268.225,268.69
O:AAPL251114C00190000,AAPL,2025-11-14,9,190.0,C,,,,,,6,76.85,79.5,78.175,102,100,80.12,1,4,79.31,80.37,79.31,80.12,80.0425,268.175,268.69
O:AAPL251114C00195000,AAPL,2025-11-14,9,195.0,C,,,,,,6,72.05,74.5,73.275,105,113,72.72,1,3,76.6,76.6,72.72,72.72,75.3067,268.275,268.69
O:AAPL251114C00200000,AAPL,2025-11-14,9,200.0,C,,,,,,16,67.5,69.25,68.375,130,125,68.1,30,54,71.63,71.63,68.1,68.1,69.3633,268.375,268.69
O:AAPL251114C00205000,AAPL,2025-11-14,9,205.0,C,,,,,,14,62.05,64.9,63.475,144,144,62.45,30,98,63.87,63.87,62.45,62.45,63.3598,268.475,268.69
O:AAPL251114C00210000,AAPL,2025-11-14,9,210.0,C,,,,,,90,56.6,59.4,58.0,119,105,58.18,7,45,61.75,61.75,58.15,58.18,60.9644,268,268.69
O:AAPL251114C00215000,AAPL,2025-11-14,9,215.0,C,0.9999402810134773,-8.128318328184742e-10,-0.019572426764728524,-9.89081421408594e-05,,195,52.55,54.9,53.724999999999994,173,173,52.77,1,118,54.11,56.55,52.77,52.77,54.7637,268.725,268.69
O:AAPL251114C00220000,AAPL,2025-11-14,9,220.0,C,,,,,,844,47.65,49.15,48.4,199,199,47.6,1,25,50.93,51.22,47.6,47.6,49.834,268.4,268.69
O:AAPL251114C00222500,AAPL,2025-11-14,9,222.5,C,,,,,,21,44.45,47,45.725,106,101,45.63,1,4,49.18,49.18,45.25,45.63,47.31,268.225,268.69
O:AAPL251114C00225000,AAPL,2025-11-14,9,225.0,C,,,,,,174,42.1,43.95,43.025000000000006,275,83,42.97,3,12,42.59,46.25,42.59,42.97,44.0742,268.025,268.69
O:AAPL251114C00227500,AAPL,2025-11-14,9,227.5,C,,,,,,2,39.55,42.35,40.95,149,168,40.25,5,12,40.45,40.45,39.56,40.25,40.2825,268.45,268.69
O:AAPL251114C00230000,AAPL,2025-11-14,9,230.0,C,,,,,,205,37.5,39.25,38.375,303,276,38.07,100,134,41.55,41.55,37.26,38.07,38.3599,268.375,268.69
O:AAPL251114C00232500,AAPL,2025-11-14,9,232.5,C,,,,,,1,34.05,37.55,35.8,138,167,35.85,1,4,36.34,36.34,35.85,35.85,36.2175,268.3,268.69
O:AAPL251114C00235000,AAPL,2025-11-14,9,235.0,C,,,,,,151,32.45,34.3,33.375,267,273,33.07,1,57,35.19,37.05,32.64,33.07,34.3079,268.375,268.69
O:AAPL251114C00237500,AAPL,2025-11-14,9,237.5,C,,,,,,63,29.6,32.2,30.900000000000002,196,186,30.09,5,16,32,33.22,30.09,30.09,31.0013,268.4,268.69
O:AAPL251114C00240000,AAPL,2025-11-14,9,240.0,C,0.9999402810218072,1.363990435893775e-09,-0.02225603916659882,-0.00012858058480993552,,267,28.05,29.4,28.725,223,275,28.65,2,1807,29.65,31.63,26.87,28.65,29.1352,268.725,268.69
O:AAPL251114C00242500,AAPL,2025-11-14,9,242.5,C,,,,,,119,25.15,26.75,25.95,269,278,25.39,4,80,26.27,27.88,25.18,25.39,27.1043,268.45,268.69
O:AAPL251114C00245000,AAPL,2025-11-14,9,245.0,C,0.9873499877596023,0.0028448560299028825,-0.06208621898606282,0.01458549825828107,,611,23.05,24.65,23.85,181,244,23.5,4,253,24.14,25.97,22.6,23.5,24.2389,268.85,268.69
O:AAPL251114C00247500,AAPL,2025-11-14,9,247.5,C,,,,,,47,20.3,21.35,20.825000000000003,221,69,20.8,25,50,21.67,24.21,19.7,20.8,20.9614,268.325,268.69
O:AAPL251114C00250000,AAPL,2025-11-14,9,250.0,C,0.9999402810085938,-1.302759752410526e-09,-0.023329484127089826,-0.0001351744609783804,,1688,18.5,18.95,18.725,43,81,18.6,1,178,18.93,22.35,17.46,18.6,18.9344,268.725,268.69
O:AAPL251114C00252500,AAPL,2025-11-14,9,252.5,C,0.9907525810734968,0.0033912408500573034,-0.04244681102830414,0.0062516021471435805,,125,15.9,16.75,16.325,111,106,16.3,2,132,17.1,18.54,15.26,16.3,16.3092,268.825,268.69
O:AAPL251114C00255000,AAPL,2025-11-14,9,255.0,C,0.9898591096912435,0.004306472312070558,-0.041458752726604056,0.006248066561780505,,1090,13.6,14.05,13.825,39,109,13.82,2,306,15.4,17,12.65,13.82,14.199,268.825,268.69
O:AAPL251114C00257500,AAPL,2025-11-14,9,257.5,C,0.9408644054354974,0.015780000133706354,-0.11769476576773334,0.02986309047277256,,230,11.2,11.8,11.5,55,42,11.45,1,334,11.2,14.81,10.15,11.45,11.7631,269,268.69
O:AAPL251114C00260000,AAPL,2025-11-14,9,260.0,C,0.8728651310517175,0.026302568789343943,-0.20288729083328366,0.07836001208268087,,1843,9.2,9.45,9.325,28,83,9.36,5,1027,10.7,12.75,8.05,9.36,9.783,269.325,268.69
O:AAPL251114C00262500,AAPL,2025-11-14,9,262.5,C,0.7962889249556759,0.03645364852274958,-0.2586665536597498,0.07906012537414756,,644,7.05,7.4,7.225,29,20,7.3,2,893,9.15,10.37,6.15,7.3,7.6843,269.725,268.69
O:AAPL251114C00265000,AAPL,2025-11-14,9,265.0,C,0.6902797210010319,0.04487284302365561,-0.316681288040084,0.10440280282433739,,1981,5.3,5.55,5.425,17,27,5.44,1,4169,6.5,8.54,4.5,5.44,6.3063,270.425,268.69
O:AAPL251114C00267500,AAPL,2025-11-14,9,267.5,C,0.5716546044562653,0.050377568804178124,-0.3428496042903605,0.1204474623607002,,2582,3.8,3.9,3.8499999999999996,2,17,3.9,5,7478,5.1,6.7,3.1,3.9,3.855,271.35,268.69
O:AAPL251114C00270000,AAPL,2025-11-14,9,270.0,C,0.4442909365245974,0.05190228319957673,-0.33392505869451217,0.12161330980823241,,8522,2.46,2.61,2.535,24,21,2.55,1,21899,3.75,5,2.03,2.55,3.114,272.535,268.69
O:AAPL251114C00272500,AAPL,2025-11-14,9,272.5,C,0.3212285177949469,0.04728179660150301,-0.3001410504944659,0.10744940542677303,,3302,1.54,1.64,1.5899999999999999,15,19,1.61,1,16681,2.63,3.6,1.25,1.61,2.2088,274.09,268.69
O:AAPL251114C00275000,AAPL,2025-11-14,9,275.0,C,0.2174840324075886,0.03856268579745249,-0.2488799563742187,0.0829369606433588,,8730,0.93,0.98,0.9550000000000001,9,20,0.96,4,24118,1.72,2.45,0.75,0.96,1.6579,275.955,268.69
O:AAPL251114C00277500,AAPL,2025-11-14,9,277.5,C,0.13787225990312316,0.028571212272237242,-0.19051307567115577,0.05577926078787377,,3697,0.53,0.56,0.545,2,9,0.57,1,6628,1.11,1.6,0.43,0.57,0.8844,278.045,268.69
O:AAPL251114C00280000,AAPL,2025-11-14,9,280.0,C,0.08372417716493262,0.01953899840298832,-0.13193095438260594,0.05627410767937735,,10002,0.3,0.31,0.305,123,124,0.31,1,16201,0.7,1.01,0.26,0.31,0.6611,280.305,268.69
O:AAPL251114C00282500,AAPL,2025-11-14,9,282.5,C,0.051834899816829025,0.012997952854751093,-0.09288352771251837,0.03282631834217761,,2017,0.17,0.19,0.18,231,182,0.18,1,2945,0.43,0.62,0.15,0.18,0.3866,282.68,268.69
O:AAPL251114C00285000,AAPL,2025-11-14,9,285.0,C,0.031452853913003016,0.008370831426923919,-0.06549958529376274,0.01651424468960707,,4164,0.1,0.11,0.10500000000000001,76,165,0.11,6,3182,0.27,0.38,0.09,0.11,0.2437,285.105,268.69
O:AAPL251114C00287500,AAPL,2025-11-14,9,287.5,C,0.019780264108510442,0.005423076052479343,-0.0448325234650459,0.016623379724079287,,2347,0.06,0.07,0.065,60,365,0.07,10,3044,0.17,0.22,0.06,0.07,0.1251,287.565,268.69
O:AAPL251114C00290000,AAPL,2025-11-14,9,290.0,C,0.013565599570680391,0.003720723567412745,-0.03509088289544108,0.016689427758565488,,2941,0.04,0.05,0.045,129,294,0.04,10,1196,0.11,0.14,0.04,0.04,0.06621,290.045,268.69
O:AAPL251114C00292500,AAPL,2025-11-14,9,292.5,C,0.00781555856302024,0.0022473229351288645,-0.021419540182625447,0.007203404603836484,,1055,0.02,0.03,0.025,224,49,0.03,1,620,0.05,0.08,0.02,0.03,0.04381,292.525,268.69
O:AAPL251114C00295000,AAPL,2025-11-14,9,295.0,C,0.0047584429794526465,0.0014014872015465445,-0.014548596082240399,0.00723614818258508,,1744,0.01,0.02,0.015,165,30,0.02,7,1002,0.05,0.06,0.01,0.02,0.02723,295.015,268.69
