ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,mid,bid_size,ask_size,last_price,last_size,volume,open,high,low,close,vwap,break_even,underlying_price
O:AMZN251114C00125000,AMZN,2025-11-14,15,125.0,C,,,,,,9,119.5,119.75,119.625,1,10,118.69,2,2,118.69,118.69,118.69,118.69,118.69,244.625,247.87
O:AMZN251114C00130000,AMZN,2025-11-14,15,130.0,C,,,,,,7,113.5,114.75,114.125,133,10,127.17,1,1,127.17,127.17,127.17,127.17,127.17,244.125,247.87
O:AMZN251114C00135000,AMZN,2025-11-14,15,135.0,C,,,,,,41,109.5,109.75,109.625,1,10,105.23,8,19,105.2,105.23,105.2,105.23,105.2253,244.625,247.87
O:AMZN251114C00140000,AMZN,2025-11-14,15,140.0,C,,,,,,2,103.5,105.75,104.625,1,10,110.02,1,3,108.45,110.02,108.45,110.02,109.35,244.625,247.87
O:AMZN251114C00145000,AMZN,2025-11-14,15,145.0,C,,,,,,4,97.65,101.4,99.525,153,6,104.4,1,2,104.7,104.7,104.4,104.4,104.55,244.525,247.87
O:AMZN251114C00150000,AMZN,2025-11-14,15,150.0,C,,,,,,5,94.5,95.75,95.125,1,3,91.27,1,2,90.67,91.27,90.67,91.27,90.97,245.125,247.87
O:AMZN251114C00155000,AMZN,2025-11-14,15,155.0,C,,,,,,4,88.55,89.75,89.15,125,19,86.41,1,1,86.41,86.41,86.41,86.41,86.41,244.15,247.87
O:AMZN251114C00160000,AMZN,2025-11-14,15,160.0,C,,,,,,4,84.55,84.75,84.65,1,10,83.6,1,1,83.6,83.6,83.6,83.6,83.6,244.65,247.87
O:AMZN251114C00165000,AMZN,2025-11-14,15,165.0,C,,,,,,66,79.55,79.75,79.65,4,19,78.75,1,1,78.75,78.75,78.75,78.75,78.75,244.65,247.87
O:AMZN251114C00170000,AMZN,2025-11-14,15,170.0,C,,,,,,11,73.55,74.75,74.15,129,12,75,1,8,71.04,75,71.04,75,72.9225,244.15,247.87
O:AMZN251114C00175000,AMZN,2025-11-14,15,175.0,C,,,,,,28,68.6,69.75,69.175,111,7,68.85,1,1,68.85,68.85,68.85,68.85,68.85,244.175,247.87
O:AMZN251114C00180000,AMZN,2025-11-14,15,180.0,C,,,,,,100,64.6,64.8,64.69999999999999,2,35,64.03,40,75,60.2,64.52,59.97,64.03,63.6409,244.7,247.87
O:AMZN251114C00185000,AMZN,2025-11-14,15,185.0,C,,,,,,56,59.6,59.8,59.7,2,20,59.78,1,68,55.05,59.78,54.85,59.78,58.8582,244.7,247.87
O:AMZN251114C00190000,AMZN,2025-11-14,15,190.0,C,,,,,,112,53.6,54.8,54.2,123,19,54.2,10,19,50.18,54.2,49.73,54.2,52.6237,244.2,247.87
O:AMZN251114C00195000,AMZN,2025-11-14,15,195.0,C,,,,,,317,49.6,49.8,49.7,19,19,49.1,18,20,46.75,49.1,46.75,49.1,48.9375,244.7,247.87
O:AMZN251114C00200000,AMZN,2025-11-14,15,200.0,C,,,,,,394,44.6,44.8,44.7,1,19,44.65,3,27,40.58,44.65,40.35,44.65,41.5037,244.7,247.87
O:AMZN251114C00202500,AMZN,2025-11-14,15,202.5,C,,,,,,22,42.15,42.4,42.275,7,22,38.29,1,2,38.48,38.48,38.29,38.29,38.385,244.775,247.87
O:AMZN251114C00205000,AMZN,2025-11-14,15,205.0,C,,,,,,176,38.65,39.85,39.25,136,20,35.8,1,5,35.71,35.8,33.63,35.8,35.068,244.25,247.87
O:AMZN251114C00207500,AMZN,2025-11-14,15,207.5,C,,,,,,23,36.15,37.35,36.75,122,11,36.7,4,6,32.67,36.7,32.67,36.7,35.4667,244.25,247.87
O:AMZN251114C00210000,AMZN,2025-11-14,15,210.0,C,,,,,,458,34.65,34.85,34.75,14,19,31.84,5,43,30.85,31.84,29.16,31.84,30.9965,244.75,247.87
O:AMZN251114C00212500,AMZN,2025-11-14,15,212.5,C,,,,,,225,31.2,32.35,31.775,111,11,28.62,3,9,28.72,28.72,27.83,28.62,28.4667,244.275,247.87
O:AMZN251114C00215000,AMZN,2025-11-14,15,215.0,C,,,,,,718,28.7,29.9,29.299999999999997,127,51,30,1,133,26.46,30,24.4,30,26.277,244.3,247.87
O:AMZN251114C00217500,AMZN,2025-11-14,15,217.5,C,,,,,,231,27.2,27.4,27.299999999999997,24,26,27,1,10,24.52,27,22.56,27,24.883,244.8,247.87
O:AMZN251114C00220000,AMZN,2025-11-14,15,220.0,C,,,,,,962,24.75,24.9,24.825,39,16,24.85,4,191,22,24.9,19.65,24.85,21.785,244.825,247.87
O:AMZN251114C00222500,AMZN,2025-11-14,15,222.5,C,,,,,,690,21.3,22.5,21.9,122,32,22.5,1,42,19.38,22.65,17.08,22.5,18.5531,244.4,247.87
O:AMZN251114C00225000,AMZN,2025-11-14,15,225.0,C,,,,,,1666,19.15,20.05,19.6,71,18,19.97,3,280,17.38,19.97,14.7,19.97,16.5236,244.6,247.87
O:AMZN251114C00227500,AMZN,2025-11-14,15,227.5,C,,,,,,774,16.95,17.9,17.424999999999997,57,59,17.91,1,189,16.19,17.91,12.52,17.91,13.9979,244.925,247.87
O:AMZN251114C00230000,AMZN,2025-11-14,15,230.0,C,,,,,,2462,14.8,15.5,15.15,32,17,15.2,1,561,12.8,15.3,10.34,15.2,12.242,245.15,247.87
O:AMZN251114C00232500,AMZN,2025-11-14,15,232.5,C,,,,,,979,12.25,13,12.625,37,20,13.26,3,387,12.1,13.26,8.4,13.26,10.1633,245.125,247.87
O:AMZN251114C00235000,AMZN,2025-11-14,15,235.0,C,,,,,,1870,10.45,10.85,10.649999999999999,43,31,10.76,1,1409,9,10.97,6.65,10.76,7.9469,245.65,247.87
O:AMZN251114C00237500,AMZN,2025-11-14,15,237.5,C,,,,,,646,8.35,8.8,8.575,62,29,8.75,2,2545,8.05,9.1,5.14,8.75,6.9702,246.075,247.87
O:AMZN251114C00240000,AMZN,2025-11-14,15,240.0,C,,,,,,4019,6.65,6.95,6.800000000000001,48,23,6.9,4,6701,6.1,7.2,3.78,6.9,4.9842,246.8,247.87
O:AMZN251114C00242500,AMZN,2025-11-14,15,242.5,C,,,,,,1069,5.1,5.3,5.199999999999999,243,78,5.2,3,6289,4.9,5.55,2.77,5.2,3.9335,247.7,247.87
O:AMZN251114C00245000,AMZN,2025-11-14,15,245.0,C,0.71933409167577,0.06543163483381527,-0.2098042710168468,0.09459768709737579,,3077,3.85,3.9,3.875,13,23,3.85,3,16868,3.7,4.15,1.87,3.85,2.8206,248.875,247.87
O:AMZN251114C00247500,AMZN,2025-11-14,15,247.5,C,0.5335004442586132,0.06441741057303345,-0.28924523646495975,0.10997298043679793,,4224,2.71,2.76,2.735,1,4,2.73,1,15260,2.58,2.96,1.26,2.73,1.7926,250.235,247.87
O:AMZN251114C00250000,AMZN,2025-11-14,15,250.0,C,0.38742749550830247,0.056740909178618223,-0.29984861445014616,0.11126736198954532,,13715,1.82,1.87,1.8450000000000002,16,36,1.87,1,16976,1.89,2.06,0.84,1.87,1.284,251.845,247.87
O:AMZN251114C00252500,AMZN,2025-11-14,15,252.5,C,0.2751206270746834,0.04567848169205184,-0.2766218629911464,0.09831642210979835,,1976,1.21,1.28,1.245,23,42,1.23,1,5424,1.1,1.41,0.57,1.23,0.8699,253.745,247.87
O:AMZN251114C00255000,AMZN,2025-11-14,15,255.0,C,0.1884669103881504,0.03516628504684042,-0.23232588048562236,0.07586594196795474,,6167,0.78,0.82,0.8,34,28,0.81,4,5567,0.88,0.93,0.39,0.81,0.5526,255.8,247.87
O:AMZN251114C00257500,AMZN,2025-11-14,15,257.5,C,0.13068067849125306,0.025964655020576738,-0.19750709974217406,0.05094351547439383,,2541,0.51,0.57,0.54,27,32,0.54,1,10480,0.59,0.63,0.28,0.54,0.3577,258.04,247.87
O:AMZN251114C00260000,AMZN,2025-11-14,15,260.0,C,0.08681081408248538,0.018486951621345202,-0.15049913204041016,0.05133518366829595,,16079,0.33,0.36,0.345,29,93,0.36,1,5101,0.42,0.42,0.18,0.36,0.2704,260.345,247.87
O:AMZN251114C00262500,AMZN,2025-11-14,15,262.5,C,0.06093194260430179,0.013332434737365393,-0.1212882696262306,0.029904720968633166,,1480,0.21,0.27,0.24,147,45,0.25,1,1069,0.28,0.28,0.14,0.25,0.1894,262.74,247.87
O:AMZN251114C00265000,AMZN,2025-11-14,15,265.0,C,0.04029359023835231,0.009202444367476414,-0.09002210942973396,0.030098460784539694,,3918,0.15,0.16,0.155,14,24,0.16,17,3140,0.21,0.22,0.1,0.16,0.1466,265.155,247.87
O:AMZN251114C00267500,AMZN,2025-11-14,15,267.5,C,0.02669286204602508,0.006344300189714341,-0.06606514501551004,0.015144137870994324,,5438,0.09,0.11,0.1,222,102,0.11,1,560,0.16,0.16,0.08,0.11,0.09502,267.6,247.87
O:AMZN251114C00270000,AMZN,2025-11-14,15,270.0,C,0.019657669716970336,0.004629143769033859,-0.05326358646136484,0.015219839782806348,,4832,0.07,0.08,0.07500000000000001,23,61,0.08,1,725,0.13,0.16,0.06,0.08,0.07279,270.075,247.87
O:AMZN251114C00272500,AMZN,2025-11-14,15,272.5,C,0.014294678437364226,0.003366428062803034,-0.0432652001514178,0.015286302455678007,,883,0.05,0.06,0.055,26,46,0.06,1,41,0.07,0.09,0.05,0.06,0.05561,272.555,247.87
O:AMZN251114C00275000,AMZN,2025-11-14,15,275.0,C,0.01140607111371481,0.002629526958781041,-0.037258677741702016,0.006580102310195747,,3307,0.04,0.05,0.045,6,170,0.04,50,487,0.1,0.12,0.04,0.04,0.04786,275.045,247.87
O:AMZN251114C00277500,AMZN,2025-11-14,15,277.5,C,0.008730874818024299,0.0019906809808938517,-0.03020670705726824,0.006612181862626059,,1313,0.03,0.04,0.035,2,108,0.03,3,68,0.04,0.04,0.03,0.03,0.03118,277.535,247.87
O:AMZN251114C00280000,AMZN,2025-11-14,15,280.0,C,0.006231345529028705,0.0014293369223973135,-0.023154712072263026,0.006643519916322671,,7060,0.02,0.03,0.025,9,58,0.02,5,296,0.04,0.04,0.02,0.02,0.02858,280.025,247.87
O:AMZN251114C00282500,AMZN,2025-11-14,15,282.5,C,0.0049044450290287355,0.0011110842445277648,-0.019803099102260985,0.00666871517452794,,279,0.01,0.03,0.02,215,174,0.02,3,20,0.02,0.02,0.02,0.02,0.02,282.52,247.87
O:AMZN251114C00285000,AMZN,2025-11-14,15,285.0,C,0.003677702094608106,0.0008358332871625109,-0.015566416724502284,0.0024369060857126388,,2850,0.01,0.02,0.015,1,14,0.01,1,65,0.04,0.04,0.01,0.01,0.01938,285.015,247.87
O:AMZN251114C00287500,AMZN,2025-11-14,15,287.5,C,0.003499938762642965,0.0007568303359701363,-0.015652112581194418,0.0024448286270971607,,425,0.01,0.02,0.015,478,130,0.01,22,730,0.01,0.01,0.01,0.01,0.01,287.515,247.87
O:AMZN251114C00290000,AMZN,2025-11-14,15,290.0,C,0.003340883561712698,0.0006894574213658017,-0.015737775080118366,0.002452915517055163,,1056,0,0.02,,0,709,0.01,700,1177,0.02,0.02,0.01,0.01,0.0101,290.01,247.87
O:AMZN251114C00292500,AMZN,2025-11-14,15,292.5,C,0.00406641786094454,0.0007629722345554966,-0.020570470233773706,0.0024572652223838923,,75,0,0.02,,0,71,0.01,396,504,0.01,0.01,0.01,0.01,0.01,292.51,247.87
O:AMZN251114C00295000,AMZN,2025-11-14,15,295.0,C,0.0030681998088256594,0.0005812395187270231,-0.015908992564988858,0.00246949146494203,,748,0,0.01,,0,12,0.01,1,21,0.01,0.02,0.01,0.01,0.01143,295.005,247.87
O:AMZN251114C00297500,AMZN,2025-11-14,15,297.5,C,0.0029504412600612467,0.0005373509496271671,-0.015994544208166896,0.0024779337302324924,,1071,0,0.01,,0,9,0.01,5,51,0.01,0.01,0.01,0.01,0.01,297.505,247.87
O:AMZN251114C00300000,AMZN,2025-11-14,15,300.0,C,0.0036256437556325396,0.0006059341322327425,-0.020827024111184034,0.002483340955765665,,931,0,0.01,,0,53,0.01,13,98,0.01,0.01,0.01,0.01,0.01,300.005,247.87
O:AMZN251114C00305000,AMZN,2025-11-14,15,305.0,C,0.0026536685488425496,0.0004343562041881721,-0.016250953104965254,0.0025037034593933414,,1385,0,0.01,,0,13,0.01,2,402,0.01,0.01,0.01,0.01,0.01,305.005,247.87
O:AMZN251114C00310000,AMZN,2025-11-14,15,310.0,C,0.0024924534637978195,0.00038297460420451336,-0.016421674436967796,0.0025211321388151804,,516,0,0.01,,0,13,0.01,1,1,0.01,0.01,0.01,0.01,0.01,310.005,247.87
O:AMZN251114C00315000,AMZN,2025-11-14,15,315.0,C,0.00235348119443798,0.0003412624070408896,-0.016592210687024447,0.0025386845221380032,,781,0,0.01,,0,13,0.01,1,1,0.01,0.01,0.01,0.01,0.01,315.005,247.87
O:AMZN251114C00320000,AMZN,2025-11-14,15,320.0,C,0.0022324542547964535,0.0003068821723376576,-0.016762553695382442,0.0025563122513275393,,1804,0,0.01,,0,532,0.01,1,1,0.01,0.01,0.01,0.01,0.01,320.005,247.87
O:AMZN251114C00325000,AMZN,2025-11-14,15,325.0,C,0.002126116196714394,0.0002781691001502229,-0.016932696069226382,0.0025739744780396774,,561,0,0.01,,0,532,0.02,1,1,0.02,0.02,0.02,0.02,0.02,325.005,247.87
O:AMZN251114C00330000,AMZN,2025-11-14,15,330.0,C,0.0020319541393643975,0.00025391028106342393,-0.017102631081806246,0.0025916507978724812,,922,0,0.01,,0,616,0.01,1,8,0.01,0.01,0.01,0.01,0.01,330.005,247.87
O:AMZN251114C00335000,AMZN,2025-11-14,15,335.0,C,0.0019479978535269,0.00023320432174816008,-0.017272352599575862,0.0026093079375159385,,206,0,0.01,,0,532,0.01,26,206,0.01,0.01,0.01,0.01,0.01,335.005,247.87
O:AMZN251114C00340000,AMZN,2025-11-14,15,340.0,C,,,,,,0,0,0.01,,0,532,,,,,,,,,340.005,247.87
O:AMZN251114C00345000,AMZN,2025-11-14,15,345.0,C,,,,,,0,0,0.01,,0,532,,,,,,,,,345.005,247.87
O:AMZN251114C00350000,AMZN,2025-11-14,15,350.0,C,,,,,,2,0,0.01,,0,1541,0.02,1,2,0.02,0.02,0.02,0.02,0.02,350.005,247.87
O:AMZN251114P00125000,AMZN,2025-11-14,15,125.0,P,-0.0017541551999462927,8.973441986297839e-05,-0.037281476734687354,0.0015537125108247296,,5,0,0.01,,0,532,0.03,1,30,0.02,0.02,0.01,0.01,0.01333,124.995,247.87
O:AMZN251114P00130000,AMZN,2025-11-14,15,130.0,P,-0.0016271820639508741,8.970372089250624e-05,-0.03238586641182322,0.0015854352581835026,,91,0,0.01,,0,532,0.01,1,1,0.01,0.01,0.01,0.01,0.01,129.995,247.87
O:AMZN251114P00135000,AMZN,2025-11-14,15,135.0,P,-0.0012185585191845523,7.522160830763173e-05,-0.022743789023547786,0.0016163955707206845,,167,0,0.01,,0,528,0.01,1,1,0.01,0.01,0.01,0.01,0.01,134.995,247.87
O:AMZN251114P00140000,AMZN,2025-11-14,15,140.0,P,-0.0010101482386799998,6.870304508239929e-05,-0.017840997891923744,0.0016464592207280386,,261,0,0.01,,0,531,0.06,10,307,0.01,0.01,0.01,0.01,0.01,139.995,247.87
O:AMZN251114P00145000,AMZN,2025-11-14,15,145.0,P,-0.0010708269733937462,7.692875633411381e-05,-0.01767986049241221,0.001675802793720744,,158,0,0.01,,0,532,0.01,1,1,0.01,0.01,0.01,0.01,0.01,144.995,247.87
O:AMZN251114P00150000,AMZN,2025-11-14,15,150.0,P,-0.001136933160885026,8.641317652579213e-05,-0.01751731921393823,0.0017045039974182346,,4276,0,0.01,,0,532,0.01,1,1,0.01,0.01,0.01,0.01,0.01,149.995,247.87
