ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,mid,bid_size,ask_size,last_price,last_size,volume,open,high,low,close,vwap,break_even,underlying_price
O:COIN251114C00160000,COIN,2025-11-14,15,160.0,C,,,,,,18,146.45,151.5,148.975,122,114,156.5,18,36,156.44,158.9,156.44,156.5,157.4972,308.975,318.89
O:COIN251114C00165000,COIN,2025-11-14,15,165.0,C,,,,,,3,141.45,146.65,144.05,124,123,155.94,2,2,155.94,155.94,155.94,155.94,155.94,309.05,318.89
O:COIN251114C00170000,COIN,2025-11-14,15,170.0,C,,,,,,10,136.45,141.3,138.875,153,130,138.55,1,2,141.32,141.32,138.55,138.55,139.935,308.875,318.89
O:COIN251114C00175000,COIN,2025-11-14,15,175.0,C,,,,,,1,131.45,137.2,134.325,120,122,178.4,1,2,177.9,178.4,177.9,178.4,178.15,309.325,318.89
O:COIN251114C00180000,COIN,2025-11-14,15,180.0,C,,,,,,18,126.5,132.35,129.425,125,126,107.74,10,10,107.74,107.74,107.74,107.74,107.74,309.425,318.89
O:COIN251114C00185000,COIN,2025-11-14,15,185.0,C,,,,,,0,121.5,126.55,124.025,113,103,,,,,,,,,309.025,318.89
O:COIN251114C00190000,COIN,2025-11-14,15,190.0,C,,,,,,2,116.5,121.45,118.975,108,98,146.93,2,2,146.93,146.93,146.93,146.93,146.93,308.975,318.89
O:COIN251114C00195000,COIN,2025-11-14,15,195.0,C,,,,,,1,111.5,117,114.25,111,110,105.3,1,1,105.3,105.3,105.3,105.3,105.3,309.25,318.89
O:COIN251114C00200000,COIN,2025-11-14,15,200.0,C,,,,,,0,106.55,113.1,109.82499999999999,119,124,,,,,,,,,309.825,318.89
O:COIN251114C00205000,COIN,2025-11-14,15,205.0,C,,,,,,1,101.55,107.5,104.525,111,116,169,1,1,169,169,169,169,169,309.525,318.89
O:COIN251114C00210000,COIN,2025-11-14,15,210.0,C,,,,,,4,96.6,102.5,99.55,138,145,94,1,1,94,94,94,94,94,309.55,318.89
O:COIN251114C00215000,COIN,2025-11-14,15,215.0,C,,,,,,6,91.6,96.8,94.19999999999999,96,82,134,1,1,134,134,134,134,134,309.2,318.89
O:COIN251114C00220000,COIN,2025-11-14,15,220.0,C,,,,,,10,86.65,93.65,90.15,105,168,88.65,1,20,69.47,88.65,69.47,88.65,71.925,310.15,318.89
O:COIN251114C00222500,COIN,2025-11-14,15,222.5,C,,,,,,0,84.15,90.1,87.125,88,91,,,,,,,,,309.625,318.89
O:COIN251114C00225000,COIN,2025-11-14,15,225.0,C,,,,,,3,81.65,86.75,84.2,80,71,162.09,3,6,161.71,162.09,161.71,162.09,161.905,309.2,318.89
O:COIN251114C00227500,COIN,2025-11-14,15,227.5,C,,,,,,0,79.2,85.25,82.225,78,81,,,,,,,,,309.725,318.89
O:COIN251114C00230000,COIN,2025-11-14,15,230.0,C,,,,,,1,76.7,82.8,79.75,79,84,124.25,1,2,124.3,124.3,124.25,124.25,124.275,309.75,318.89
O:COIN251114C00232500,COIN,2025-11-14,15,232.5,C,,,,,,1,74.2,79.3,76.75,73,58,86.3,1,1,86.3,86.3,86.3,86.3,86.3,309.25,318.89
O:COIN251114C00235000,COIN,2025-11-14,15,235.0,C,,,,,,4,71.75,77.2,74.475,70,61,58.22,2,3,58.21,58.22,58.21,58.22,58.2167,309.475,318.89
O:COIN251114C00237500,COIN,2025-11-14,15,237.5,C,,,,,,0,69.25,74.6,71.925,71,63,,,,,,,,,309.425,318.89
O:COIN251114C00240000,COIN,2025-11-14,15,240.0,C,,,,,,11,66.8,73,69.9,85,106,68.25,3,8,50.5,68.25,50.5,68.25,57.1563,309.9,318.89
O:COIN251114C00242500,COIN,2025-11-14,15,242.5,C,,,,,,1,64.35,71,67.675,93,107,59.5,1,1,59.5,59.5,59.5,59.5,59.5,310.175,318.89
O:COIN251114C00245000,COIN,2025-11-14,15,245.0,C,,,,,,9,61.9,66.8,64.35,67,56,55.89,1,1,55.89,55.89,55.89,55.89,55.89,309.35,318.89
O:COIN251114C00247500,COIN,2025-11-14,15,247.5,C,,,,,,0,59.45,65.05,62.25,65,61,,,,,,,,,309.75,318.89
O:COIN251114C00250000,COIN,2025-11-14,15,250.0,C,,,,,,17,57,62.45,59.725,67,58,55.35,1,1,55.35,55.35,55.35,55.35,55.35,309.725,318.89
